Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
M5-IMU-Janice,24.828937768936157,-0.13,9.4,-2.39,-0.18,-0.04,-0.1,Annotated
M5-IMU-Janice,24.948838710784912,-0.58,9.56,-1.7,0.0,-0.05,-0.06,Annotated
M5-IMU-Janice,25.00873064994812,-0.53,9.23,-2.65,0.1,-0.19,0.14,Annotated
M5-IMU-Janice,25.129016637802124,-0.47,9.55,-2.03,-0.04,0.1,-0.08,Annotated
M5-IMU-Janice,25.30704379081726,-1.58,8.93,-3.05,0.1,-0.3,0.42,Annotated
M5-IMU-Janice,25.307992935180664,0.57,9.76,-1.75,-0.0,-0.32,0.19,Annotated
M5-IMU-Janice,25.42891764640808,-0.49,9.53,-2.56,0.04,0.13,-0.08,Annotated
M5-IMU-Janice,25.548542737960815,0.15,9.62,-2.4,0.02,0.21,-0.02,Annotated
M5-IMU-Janice,25.608131885528564,0.36,9.29,-2.13,0.07,0.1,-0.1,Annotated
M5-IMU-Janice,25.728845834732056,0.14,9.85,-2.91,-0.25,0.3,-0.26,Annotated
M5-IMU-Janice,25.849488496780396,-0.59,9.29,-1.76,-0.31,0.2,-0.43,Annotated
M5-IMU-Janice,25.908670902252197,-0.98,9.15,-2.11,-0.06,-0.06,0.07,Annotated
M5-IMU-Janice,26.028969287872314,-0.48,8.69,-1.58,-0.18,-0.19,0.13,Annotated
M5-IMU-Janice,26.14848256111145,-0.73,9.36,-1.63,-0.07,0.14,0.1,Annotated
M5-IMU-Janice,26.209017992019653,0.47,9.7,-1.9,-0.0,-0.11,0.04,Annotated
M5-IMU-Janice,26.328672409057617,-0.61,9.27,-2.29,0.1,0.11,-0.07,Annotated
M5-IMU-Janice,26.448870182037354,-0.61,9.29,-1.47,0.1,-0.06,0.32,Annotated
M5-IMU-Janice,26.508530378341675,0.78,9.59,-1.58,0.21,-0.46,0.43,Annotated
M5-IMU-Janice,26.628338098526,1.23,9.72,-1.7,0.12,0.24,0.34,Unmarked
M5-IMU-Janice,26.74937605857849,0.65,9.84,-2.13,-0.1,-0.02,0.26,Unmarked
M5-IMU-Janice,26.809447288513184,0.63,10.64,-2.14,-0.1,0.84,0.39,Unmarked
M5-IMU-Janice,26.928977966308594,-1.15,11.38,-1.4,0.08,0.15,1.66,Unmarked
M5-IMU-Janice,27.048624992370605,-3.23,14.43,2.0,0.36,1.51,2.53,Unmarked
