Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Label
39.39765811,1.12,9.57,-0.13,-0.04,0.01,-0.02,Stand
39.50358796,1.06,9.57,-0.1,-0.03,-0.02,-0.02,Stand
39.6068778,1.14,9.6,-0.09,-0.03,-0.03,-0.02,Stand
39.71273279,1.06,9.6,-0.12,-0.03,-0.02,-0.02,Stand
39.81692791,1.01,9.58,-0.08,-0.02,-0.01,-0.01,Stand
39.92308402,0.98,9.53,-0.05,-0.03,-0.02,-0.01,Stand
40.04338598,1.02,9.59,-0.06,-0.02,-0.03,0,Stand
40.13510704,1.06,9.59,-0.11,0.01,-0.05,-0.01,Stand
40.23826194,1.01,9.64,-0.15,0,-0.05,0,Stand
40.34332418,1.04,9.61,-0.12,0.01,-0.04,0,Stand
40.4475739,0.98,9.66,-0.2,-0.01,-0.03,0.01,Stand
40.55314302,0.98,9.64,-0.19,0,-0.03,0,Stand
40.65801597,1.02,9.6,-0.22,0,-0.03,0.01,Stand
40.76311588,0.94,9.57,-0.24,0.01,-0.03,0.01,Stand
40.86729813,0.97,9.6,-0.27,0,-0.02,0.02,Stand
40.97221613,0.99,9.58,-0.26,0,-0.03,0.02,Stand
41.07836699,1.05,9.65,-0.33,-0.01,-0.03,0.02,Stand
