Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
MPY ESP32,21.75782299041748,1.28,9.52,-0.11,-0.03,-0.02,0.01,Unmarked
MPY ESP32,21.86255407333374,1.39,9.59,-0.11,-0.05,-0.01,-0.0,Unmarked
MPY ESP32,21.967916011810303,1.35,9.56,-0.06,-0.05,-0.0,-0.01,Unmarked
MPY ESP32,22.07211208343506,1.4,9.62,0.0,-0.05,-0.01,0.0,Unmarked
MPY ESP32,22.17758297920227,1.32,9.61,-0.08,-0.03,-0.02,-0.0,Unmarked
MPY ESP32,22.28292202949524,1.28,9.56,-0.0,-0.04,-0.01,0.01,Unmarked
MPY ESP32,22.387972116470337,1.34,9.59,0.03,-0.04,-0.02,-0.0,Unmarked
MPY ESP32,22.493223905563354,1.34,9.62,0.05,-0.04,-0.01,0.0,Unmarked
MPY ESP32,22.597877025604248,1.37,9.59,0.06,-0.04,-0.01,-0.01,Unmarked
MPY ESP32,22.703046083450317,1.28,9.6,0.07,-0.03,-0.01,-0.0,Unmarked
MPY ESP32,22.806947946548462,1.26,9.55,0.08,-0.03,-0.01,-0.01,Unmarked
MPY ESP32,22.912444829940796,1.21,9.56,0.1,-0.03,-0.02,-0.0,Unmarked
MPY ESP32,23.016883850097656,1.24,9.53,0.15,-0.03,-0.01,-0.0,Unmarked
MPY ESP32,23.122199058532715,1.19,9.54,0.18,-0.03,-0.02,0.01,Unmarked
MPY ESP32,23.22785210609436,1.23,9.57,0.12,-0.02,-0.01,-0.0,Unmarked
MPY ESP32,23.332973957061768,1.23,9.59,0.17,-0.03,-0.01,0.0,Unmarked
MPY ESP32,23.438015937805176,1.25,9.59,0.14,-0.02,-0.02,0.0,Unmarked
MPY ESP32,23.543203115463257,1.24,9.62,0.16,-0.03,-0.02,0.01,Unmarked
MPY ESP32,23.646955966949463,1.21,9.53,0.2,-0.02,-0.02,0.0,Unmarked
MPY ESP32,23.75225591659546,1.18,9.53,0.15,-0.02,-0.02,0.0,Unmarked
MPY ESP32,23.85707688331604,1.32,9.67,0.21,-0.02,-0.03,-0.0,Unmarked
MPY ESP32,23.962048053741455,1.18,9.56,0.19,-0.02,-0.03,0.0,Unmarked
MPY ESP32,24.06674098968506,1.22,9.62,0.19,-0.03,-0.03,-0.01,Unmarked
MPY ESP32,24.17239999771118,1.13,9.54,0.24,-0.03,-0.02,-0.0,Unmarked
MPY ESP32,24.276976108551025,1.21,9.59,0.23,-0.03,-0.01,-0.0,Unmarked
MPY ESP32,24.38207197189331,1.1,9.56,0.22,-0.03,-0.02,0.01,Unmarked
MPY ESP32,24.486419916152954,1.15,9.57,0.23,-0.02,-0.03,0.01,Unmarked
MPY ESP32,24.59204602241516,1.19,9.59,0.25,-0.01,-0.02,0.02,Unmarked
MPY ESP32,24.697286128997803,1.13,9.54,0.24,-0.01,-0.02,0.02,Unmarked
MPY ESP32,24.802047967910767,1.18,9.57,0.21,-0.02,-0.02,0.01,Unmarked
MPY ESP32,24.90693712234497,1.21,9.62,0.11,-0.02,-0.03,0.02,Unmarked
MPY ESP32,25.012205123901367,1.19,9.6,0.16,-0.02,-0.02,0.02,Unmarked
MPY ESP32,25.11713719367981,1.27,9.59,0.18,-0.01,0.01,0.01,Unmarked
MPY ESP32,25.2221622467041,1.15,9.56,0.18,-0.04,0.04,0.02,Unmarked
MPY ESP32,25.326990127563477,1.25,9.6,0.23,-0.08,0.03,0.02,Unmarked
MPY ESP32,25.43193483352661,1.38,9.65,0.31,-0.07,0.03,-0.02,Unmarked
MPY ESP32,25.537199020385742,1.11,9.51,0.38,-0.08,0.01,-0.02,Unmarked
MPY ESP32,25.64280915260315,1.1,9.54,0.47,-0.07,0.0,-0.04,Unmarked
MPY ESP32,25.74732995033264,1.04,9.56,0.47,-0.04,-0.02,-0.02,Unmarked
MPY ESP32,25.852602005004883,1.19,9.57,0.51,-0.04,-0.02,-0.02,Unmarked
MPY ESP32,25.958105087280273,0.99,9.59,0.5,-0.04,-0.02,-0.04,Unmarked
MPY ESP32,26.06192708015442,0.85,9.54,0.51,-0.01,-0.02,-0.05,Unmarked
MPY ESP32,26.16805911064148,0.94,9.54,0.57,-0.01,-0.04,-0.03,Unmarked
MPY ESP32,26.272823095321655,0.9,9.59,0.54,0.02,-0.07,-0.03,Unmarked
MPY ESP32,26.377071142196655,0.97,9.66,0.45,0.03,-0.09,-0.03,Unmarked
MPY ESP32,26.482433080673218,0.75,9.57,0.33,0.04,-0.09,-0.02,Unmarked
MPY ESP32,26.587827920913696,0.79,9.55,0.38,0.03,-0.08,-0.03,Unmarked
MPY ESP32,26.691790103912354,0.78,9.62,0.19,0.04,-0.09,-0.01,Unmarked
